UNIQUE_CARRIER_NAME,NET_INCOME
"ABX Air Inc",170314.44999999998
"ATA Airlines d/b/a ATA",46007.039999999804
"Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",-6425.38
"Air South Inc. (1)",-64248.32
"Air Transport International",76033.22000000003
"Air Wisconsin Airlines Corp",325410.1400000001
"AirTran Airways Corporation",-42641.02999999981
"Alaska Airlines Inc.",6022154.0
"Allegiant Air",1978275.23
"Aloha Air Cargo",9946.65
"Aloha Airlines Inc.",-267293.66000000003
"America West Airlines Inc.",-1052123.8100000005
"American Airlines Inc.",2341896.030000014
"Amerijet International",-98.15999999991436
"Arrow Air Inc.",-326698.52999999997
"Asia Pacific",8843.159999999998
"Aspen Airways Inc.",2374.4800000000005
"Astar USA, LLC",49139.49000000043
"Atlas Air Inc.",1094326.1600000006
"Av Atlantic",-3085.08
"Avjet Corporation",-5280.070000000001
"Boston-Maine Airways",-14541.589999999998
"Braniff International Airlines Inc.",-6834.12
"Buffalo Airways Inc.",-692.98
"Business Express",-18915.700000000004
"Capital Cargo International",-20124.239999999987
"Cargo 360, Inc.",-9495.58
"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",3404.7999999999993
"Carnival Air Lines Inc.",-95574.37999999993
"Centurion Cargo Inc.",-96334.15999999989
"Champion Air",-117224.9100000001
"Chautauqua Airlines Inc.",31919.82
"Colgan Air",-125126.27999999997
"Comair Inc.",-2008941.0
"Compass Airlines",83465.1
"Continental Air Lines Inc.",165150.0
"Continental Micronesia",433606.0
"Custom Air Transport",-1301.22
"Delta Air Lines Inc.",1.2926618E7
"EOS Airlines, Inc.",-69040.90000000001
"Eastern Air Lines Inc.",-1115907.9300000004
"Eastern Airlines Group Inc.",-39982.119999999995
"Eastern Airlines f/k/a Dynamic Airways, LLC",-81920.20000000001
"Eastwind Airlines Inc.",-5884.26
"Elite Airways LLC",1281.0500000000006
"Emerald Airlines Inc.",-2212.16
"Emery Worldwide Airlines",26693.189999999962
"Empire Airlines Inc.",431.33000000000004
"Endeavor Air Inc.",-106898.53
"Envoy Air",-119605.4999999998
"Evergreen International Inc.",-40871.47999999953
"Executive Airlines",30757.059999999998
"Express One International Inc.",-35993.95000000001
"Express.Net Airlines",17985.79
"ExpressJet Airlines Inc.",284011.9900000001
"ExpressJet Airlines LLC",136715.67000000004
"Falcon Air Express",-29666.280000000002
"Federal Express Corporation",2.048331097E7
"Fine Airlines Inc.",3486.4100000000044
"Flagship Airlines Inc.",439.61
"Flagship Express Services",-18115.87
"Florida West Airlines Inc.",-9583.249999999989
"Freedom Airlines d/b/a HP Expr",20462.63
"Frontier Airlines Inc.",835016.9
"Gemini Air Cargo Airways",-95947.76999999993
"GoJet Airlines LLC d/b/a United Express",52614.50000000001
"Great American Airways",-1419.8699999999997
"Gulf And Caribbean Cargo",4149.089999999991
"Hawaiian Airlines Inc.",1444563.2399999993
"Horizon Air",139063.0
"Independence Air",-735697.8900000001
"Island Air Hawaii",-78940.70999999999
"Jet Aviation Flight Services, Inc.",54291.76000000001
"JetBlue Airways",4254776.030000001
"Kalitta Air LLC",581032.94
"Kalitta Charters II",79269.04999999999
"Key Airlines Inc.",-29757.43
"Kitty Hawk Aircargo",-751.8399999999965
"Kitty Hawk International",-12594.490000000009
"Kiwi International",-80801.48999999999
"Legend Airlines",-25611.019999999997
"Lynden Air Cargo Airlines",268295.1899999999
"Lynx Aviation d/b/a Frontier Airlines",-7639.869999999999
"Markair Inc.",-82020.17
"Mesa Airlines Inc.",43021.550000000345
"Mesaba Airlines",66177.55999999995
"Miami Air International",76959.49
"Midway Airlines Inc. (1)",-176314.05
"Midway Airlines Inc.",-468474.31
"Midwest Airline, Inc.",-556803.2700000001
"Morris Air Corporation",19858.98
"National Air Cargo Group Inc d/ba National Airlines",-113281.58000000009
"National Airlines",-151668.93
"North American Airlines",1952.4099999999453
"Northern Air Cargo Inc.",30842.39999999999
"Northwest Airlines Inc.",-8350833.0
"Omega Air Holdings d/b/a Focus Air",-43619.28999999999
"Omni Air International LLC",742893.99
"PSA Airlines Inc.",11960.039999999968
"Pace Airlines",-9790.410000000002
"Pan American Airways Corp.",-24142.159999999996
"Pan American World Airways (1)",-921130.0
"Pan American World Airways",-107051.51999999999
"Polar Air Cargo Airways",-311831.6900000005
"Primaris Airlines Inc.",-32586.34
"Private Jet Expeditions",-13450.279999999999
"Pro Air Inc.",-19809.0
"Reeve Aleutian Airways Inc.",-19258.059999999998
"Reliant Airlines",-4860.41
"Reno Air Inc.",-30657.77000000002
"Republic Airline",196447.42
"Rich International Airways",-5793.1700000000055
"Ryan International Airlines",122068.65000000002
"Scott Aviation, LLC  d/b/a  Silver Air",590.7
"Shuttle America Corp.",-100030.57000000005
"Sky King Inc.",-6832.460000000001
"Sky Lease Cargo",47841.71000000001
"SkyWest Airlines Inc.",1759174.6400000001
"Skybus Airlines, Inc.",-56366.16
"Songbird Airways Inc.",-5903.730000000002
"Southeast Airlines",-7764.0
"Southern Air Inc.",-448906.17000000004
"Southern Air Transport Inc.",-6538.280000000017
"Southwest Airlines Co.",2.1362558759999998E7
"Spirit Air Lines",1710173.9300000004
"Sun Country Airlines d/b/a MN Airlines",-39636.42000000014
"Sun Pacific International",-13653.490000000002
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",41558.24
"Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",42126.049999999996
"Tower Air Inc.",6479.330000000016
"Trans Continental Airlines",-5424.9
"Trans States Airlines",205497.23
"Trans World Airways LLC",-2106276.569999999
"TransMeridian Airlines",-60851.120000000024
"UFS Inc.",14147.369999999999
"US Airways Inc.",-1206107.3299999991
"USA 3000 Airlines",-81825.54999999999
"USA Jet Airlines Inc.",135283.08
"USAfrica Airways Inc.",-27204.0
"USAir Shuttle",-132605.26000000004
"United Air Lines Inc.",7691690.459999982
"United Parcel Service",2512903.8300000024
"Valujet Airlines Inc.",-71691.13000000002
"Vanguard Airlines Inc.",-118439.75000000001
"Virgin America",-187725.42000000016
"Viscount Air Service Inc.",-198.26999999999998
"Vision Airlines",-57969.920000000006
"Westair Airlines Inc.",-3311.5899999999965
"Western Global",10667.399999999998
"Western Pacific Airlines",-111888.26000000001
"World Airways Inc.",-191988.89
"Worldwide Airlines Services",-31880.789999999997
"XTRA Airways",-61079.71999999995
"Zantop International",-49110.570000000014
"null",167722.74
null,0.0
