State,Cancellations
Alabama,858
Alaska,1633
Arizona,5251
Arkansas,1118
California,28028
Colorado,5794
Connecticut,1300
Florida,10479
Georgia,9974
Hawaii,1656
Idaho,247
Illinois,20341
Indiana,1609
Iowa,964
Kansas,306
Kentucky,2897
Louisiana,1642
Maine,1063
Maryland,2435
Massachusetts,10807
Michigan,6182
Minnesota,5009
Mississippi,247
Missouri,5860
Montana,244
Nebraska,510
Nevada,3468
New Hampshire,563
New Jersey,6440
New Mexico,715
New York,17784
North Carolina,7028
North Dakota,114
Ohio,4061
Oklahoma,1551
Oregon,1647
Pennsylvania,10913
Puerto Rico,770
Rhode Island,1135
South Carolina,961
South Dakota,120
Tennessee,3284
Texas,24951
U.S. Virgin Islands,93
Utah,1931
Vermont,288
Virginia,11932
Washington,3532
West Virginia,58
Wisconsin,1376
Wyoming,29
